OpenJDK 64-Bit Server VM warning: If the number of processors is expected to increase from one, then you should configure the number of parallel GC threads appropriately using -XX:ParallelGCThreads=N
[2021-03-04 20:52:23,384] INFO Server environment:java.class.path=/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/activation-1.1.1.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/aopalliance-repackaged-2.6.1.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/argparse4j-0.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/audience-annotations-0.5.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/commons-cli-1.4.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/commons-lang3-3.8.1.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/connect-api-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/connect-basic-auth-extension-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/connect-file-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/connect-json-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/connect-mirror-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/connect-mirror-client-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/connect-runtime-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/connect-transforms-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/hk2-api-2.6.1.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/hk2-locator-2.6.1.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/hk2-utils-2.6.1.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jackson-annotations-2.10.5.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jackson-core-2.10.5.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jackson-databind-2.10.5.1.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jackson-dataformat-csv-2.10.5.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jackson-datatype-jdk8-2.10.5.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jackson-jaxrs-base-2.10.5.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jackson-jaxrs-json-provider-2.10.5.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jackson-module-jaxb-annotations-2.10.5.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jackson-module-paranamer-2.10.5.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jackson-module-scala_2.13-2.10.5.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jakarta.activation-api-1.2.1.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jakarta.annotation-api-1.3.5.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jakarta.inject-2.6.1.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jakarta.validation-api-2.0.2.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jakarta.ws.rs-api-2.1.6.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jakarta.xml.bind-api-2.3.2.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/javassist-3.25.0-GA.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/javassist-3.26.0-GA.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/javax.servlet-api-3.1.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/javax.ws.rs-api-2.1.1.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jaxb-api-2.3.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jersey-client-2.31.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jersey-common-2.31.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jersey-container-servlet-2.31.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jersey-container-servlet-core-2.31.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jersey-hk2-2.31.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jersey-media-jaxb-2.31.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jersey-server-2.31.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jetty-client-9.4.33.v20201020.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jetty-continuation-9.4.33.v20201020.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jetty-http-9.4.33.v20201020.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jetty-io-9.4.33.v20201020.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jetty-security-9.4.33.v20201020.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jetty-server-9.4.33.v20201020.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jetty-servlet-9.4.33.v20201020.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jetty-servlets-9.4.33.v20201020.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jetty-util-9.4.33.v20201020.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/jopt-simple-5.0.4.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/kafka_2.13-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/kafka_2.13-2.7.0-sources.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/kafka-clients-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/kafka-log4j-appender-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/kafka-raft-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/kafka-streams-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/kafka-streams-examples-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/kafka-streams-scala_2.13-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/kafka-streams-test-utils-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/kafka-tools-2.7.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/log4j-1.2.17.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/lz4-java-1.7.1.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/maven-artifact-3.6.3.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/metrics-core-2.2.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/netty-buffer-4.1.51.Final.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/netty-codec-4.1.51.Final.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/netty-common-4.1.51.Final.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/netty-handler-4.1.51.Final.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/netty-resolver-4.1.51.Final.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/netty-transport-4.1.51.Final.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/netty-transport-native-epoll-4.1.51.Final.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/netty-transport-native-unix-common-4.1.51.Final.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/osgi-resource-locator-1.0.3.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/paranamer-2.8.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/plexus-utils-3.2.1.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/reflections-0.9.12.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/rocksdbjni-5.18.4.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/scala-collection-compat_2.13-2.2.0.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/scala-java8-compat_2.13-0.9.1.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/scala-library-2.13.3.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/scala-logging_2.13-3.9.2.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/scala-reflect-2.13.3.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/slf4j-api-1.7.30.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/slf4j-log4j12-1.7.30.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/snappy-java-1.1.7.7.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/zookeeper-3.5.8.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/zookeeper-jute-3.5.8.jar:/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts/../../Kafka/bin/../libs/zstd-jni-1.4.5-6.jar (org.apache.zookeeper.server.ZooKeeperServer)
[2021-03-04 20:52:23,385] INFO Server environment:java.library.path=/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib (org.apache.zookeeper.server.ZooKeeperServer)
[2021-03-04 20:52:23,385] INFO Server environment:java.io.tmpdir=/tmp (org.apache.zookeeper.server.ZooKeeperServer)
[2021-03-04 20:52:23,385] INFO Server environment:java.compiler=<NA> (org.apache.zookeeper.server.ZooKeeperServer)
[2021-03-04 20:52:23,385] INFO Server environment:os.name=Linux (org.apache.zookeeper.server.ZooKeeperServer)
[2021-03-04 20:52:23,385] INFO Server environment:os.arch=amd64 (org.apache.zookeeper.server.ZooKeeperServer)
[2021-03-04 20:52:23,385] INFO Server environment:os.version=3.10.0-1160.15.2.el7.x86_64 (org.apache.zookeeper.server.ZooKeeperServer)
[2021-03-04 20:52:23,385] INFO Server environment:user.name=trenner (org.apache.zookeeper.server.ZooKeeperServer)
[2021-03-04 20:52:23,385] INFO Server environment:user.home=/home/trenner (org.apache.zookeeper.server.ZooKeeperServer)
[2021-03-04 20:52:23,385] INFO Server environment:user.dir=/home/trenner/Documents/srsLTE_MMPN/Node_Scripts/Kafka_Scripts (org.apache.zookeeper.server.ZooKeeperServer)
