2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;-52;52;-6741.052734;0.58;27;0.15;1441.138428;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;-50;50;-6763.464355;1.0;29;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;-47;47;-6755.803223;2.0;29;0.34;2240.560303;0;0.0;0.0;0.0;560;0;0.0;0.0;0.0;0.0
8;-49;49;-6752.405762;2.5;29;0.50;3280.918701;0;2.6;0.0;43;0.0;0.0;0.0;0.0;0.0;1.0
9;-49;49;-6755.889160;2.5;29;0.50;0.0;0.0;2.6;0.0;43;0.0;0.0;0.0;0.0;0.0;1.0
10;-49;49;-6756.337402;2.5;29;0.50;0.0;0.0;2.6;0.0;43;0.0;0.0;0.0;0.0;0.0;1.0
11;-49;49;-6753.755859;2.5;29;0.50;0.0;0.0;2.6;0.0;43;0.0;0.0;0.0;0.0;0.0;1.0
12;-49;49;-6757.740234;3.4;30;0.50;1760.422485;0;2.6;2.3;24;20644.955078;43;0.0;0.0;0.0;1.0
13;-48;48;-6755.855957;5.1;29;0.50;4561.322754;0;2.6;5.6;24;36970.718750;43;0.0;0.0;0.0;1.0
14;-50;50;-6756.843750;7.0;29;0.50;0.0;0.0;2.6;7.5;0.0;0.0;75;0.0;0.0;0.0;1.0
15;-47;47;-6763.126953;7.0;29;0.50;0.0;0.0;2.6;9.5;21;0.0;100.000000;0.0;0.0;0.0;1.0
16;-51;51;-6768.232422;7.0;29;0.50;0.0;0.0;2.6;10;0.0;0.0;75;0.0;0.0;0.0;1.0
