time;rsrp;pl;cfo;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached
45;-50;50;-6751.317383;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
46;-48;48;-6753.758789;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
47;-51;51;-6756.171875;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
48;-46;46;-6757.269043;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
49;-49;49;-6750.875977;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
50;-49;49;-6740.570801;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
51;-49;49;-6742.429199;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
52;-49;49;-6751.682617;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
53;-49;49;-6754.996582;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
54;-49;49;-6757.515625;4.5;30;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
55;-48;48;-6759.458496;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
56;-50;50;-6763.209961;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
57;-47;47;-6757.943848;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
58;-51;51;-6757.000000;4.5;28;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
59;-47;47;-6752.406738;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
60;-49;49;-6752.483887;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
61;-49;49;-6749.708496;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
62;-49;49;-6744.924805;4.5;30;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
63;-49;49;-6743.886230;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
64;-49;49;-6744.758301;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
65;-49;49;-6745.382812;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
66;-51;51;-6744.581055;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
67;-50;50;-6743.757324;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
68;-50;50;-6743.203125;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
69;-51;51;-6739.979004;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
70;-51;51;-6737.549316;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
71;-51;51;-6739.125000;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
72;-50;50;-6736.612305;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
73;-51;51;-6730.014648;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
74;-50;50;-6732.363281;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
75;-50;50;-6729.174805;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
76;-51;51;-6733.515137;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
77;-50;50;-6726.575195;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
78;-51;51;-6727.060059;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
79;-50;50;-6731.031250;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
80;-51;51;-6724.333984;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
81;-50;50;-6712.881348;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
82;-52;52;-6707.951172;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
83;-50;50;-6721.671387;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
84;-51;51;-6723.782227;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
85;-50;50;-6730.764160;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
86;-49;49;-6739.756836;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
87;-51;51;-6745.277344;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
88;-48;48;-6750.095703;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
89;-52;52;-6740.639160;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
90;-49;49;-6740.366211;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
91;-49;49;-6736.554199;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
92;-51;51;-6724.508789;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
93;-49;49;-6727.635254;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
94;-49;49;-6725.618652;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
95;-50;50;-6723.017578;4.5;30;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
96;-50;50;-6720.340332;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
97;-50;50;-6720.398438;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
98;-49;49;-6719.403320;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
99;-52;52;-6721.334473;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
100;-48;48;-6715.893066;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
101;-52;52;-6716.814941;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
102;-48;48;-6713.357422;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
103;-50;50;-6708.593750;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
104;-50;50;-6710.019043;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
105;-49;49;-6708.833984;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
106;-49;49;-6703.661133;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
107;-49;49;-6704.329590;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
108;-48;48;-6707.347168;4.5;30;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
109;-50;50;-6703.226562;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
110;-47;47;-6707.127441;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
111;-49;49;-6704.704102;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
112;-49;49;-6716.070801;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
113;-47;47;-6709.768066;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
114;-51;51;-6710.156738;4.5;28;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
115;-47;47;-6705.357910;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
116;-49;49;-6703.815918;4.5;29;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
117;-49;49;-6702.865234;4.5;30;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
118;-49;49;-6702.104492;4.5;30;0.50;0.0;0.0;2.6;8.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0
